id,geo_point_2d,code_com,xlong,ylat,capacite,capacite_cargo,mobilier,protection,couverture,acces,surveillance,lumiere,url_info,d_service,source,proprietaire,gestionnaire,date_maj,commentaires,nom_local,commune_local,adresse_local,type,code,epci,lon,lat
46,"45.198826,5.717509",38185.0,5.717509,45.198826,30,0,RACK DOUBLE ETAGE,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,True,True,https://www.veloplus-m.fr/,2015-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,mobilier,ESPLANADE P+R,GRENOBLE,Route de Lyon,stationnementcyclable,37,LaMetro,5.71751,45.19883
47,"45.19086751652526,5.719451666817036",38185.0,5.719451666817036,45.19086751652526,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2019-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,FELIX VIALLET,GRENOBLE,27 avenue Félix Viallet,stationnementcyclable,38,LaMetro,5.71945,45.19087
48,"45.18893521033769,5.719505215533482",38185.0,5.719505215533482,45.18893521033769,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-11-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,JEAN JAURES,GRENOBLE,79 cours Jean Jaurès,stationnementcyclable,39,LaMetro,5.71951,45.18894
49,"45.177206980257665,5.742506074892749",38185.0,5.742506074892749,45.17720698025767,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2019-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,JEAN BART,GRENOBLE,29 rue Jean Bart,stationnementcyclable,40,LaMetro,5.74251,45.17721
50,"45.18920555555547,5.705736111111111",38185.0,5.705736111111111,45.18920555555547,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-03-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,BERRIAT MAGASIN,GRENOBLE,6 Rue Diderot,stationnementcyclable,41,LaMetro,5.70574,45.18921
51,"45.171744444444364,5.743088888888888",38185.0,5.743088888888888,45.17174444444437,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-11-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,PAUL COCAT,GRENOBLE,12 Avenue Paul Cocat,stationnementcyclable,42,LaMetro,5.74309,45.17174
52,"45.178222222222146,5.715972222222222",38185.0,5.715972222222222,45.17822222222215,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-11-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,LIBERATION,GRENOBLE,27-15 cours de la Libération,stationnementcyclable,43,LaMetro,5.71597,45.17822
53,"45.18245555555548,5.726652777777777",38185.0,5.726652777777777,45.18245555555548,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-11-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,ANDRE MAGINOT,GRENOBLE,4 Rue André Maginot,stationnementcyclable,44,LaMetro,5.72665,45.18246
54,"45.17830555555548,5.783138888888888",38179.0,5.783138888888888,45.17830555555548,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-11-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,THIERS,GRENOBLE,26 rue Thiers,stationnementcyclable,45,LaMetro,5.78314,45.17831
55,"45.142253,5.715447",38151.0,5.715447,45.142253,6,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,AUGUSTE DELAUNE,GRENOBLE,90 av du Général de Gaulle,stationnementcyclable,46,LaMetro,5.71545,45.14225
56,"45.191858,5.743867",38516.0,5.743867,45.191858,10,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,GRAND SABLON,LA TRONCHE,21 avenue du Grand Sablon,stationnementcyclable,47,LaMetro,5.74387,45.19186
57,"45.196517,5.752839",38516.0,5.752839,45.196517,6,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,SABLON,LA TRONCHE,Avenue de Verdun,stationnementcyclable,48,LaMetro,5.75284,45.19652
58,"45.211499,5.791479",38229.0,5.791479,45.211499,6,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,BEALIERES,MEYLAN,Avenue du Granier arret bus C1 Les Béalieres,stationnementcyclable,49,LaMetro,5.79148,45.2115
59,"45.205384,5.764561",38229.0,5.764561,45.205384,6,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,AIGUINARDS,MEYLAN,80 rue des Aiguinards,stationnementcyclable,50,LaMetro,5.76456,45.20538
60,"45.191644,5.816456",38271.0,5.816456,45.191644,6,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,MURINANETTE,MURIANETTE,85 rue de la Libération,stationnementcyclable,51,LaMetro,5.81646,45.19164
61,"45.35768,5.955012",38511.0,5.955012,45.35768,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,GRANDES TERRES,LE TOUVET,,stationnementcyclable,52,LeGresivaudan,5.95501,45.35768
62,"45.137757422284125,5.703526842986168",38317.0,5.703526842986168,45.137757422284125,96,0,RACK DOUBLE ETAGE,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,True,True,https://www.veloplus-m.fr/,2015-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,mobilier,ETOILE,LE PONT-DE-CLAIX,Avenue Charles de Gaulle,stationnementcyclable,53,LaMetro,5.70353,45.13776
63,"45.22424581311944,5.819255074659242",38249.0,5.819255074659242,45.22424581311944,20,0,RACK DOUBLE ETAGE,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,True,True,https://www.veloplus-m.fr/,2015-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,mobilier,PRE DE L'EAU P+R,MONTBONNOT-SAINT-MAR,Chemin du Moulin,stationnementcyclable,54,LeGresivaudan,5.81926,45.22425
64,"45.22393326138526,5.819913064550483",38249.0,5.819913064550483,45.22393326138526,20,0,RACK DOUBLE ETAGE,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,True,True,https://www.veloplus-m.fr/,2015-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,mobilier,PRE DE L'EAU TERMINUS BUS,MONTBONNOT-SAINT-MAR,Route de la Doux,stationnementcyclable,55,LeGresivaudan,5.81991,45.22393
65,"45.231718,5.684019",38382.0,5.684019,45.231718,6,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,PONT DE VENCE,SAINT-EGREVE,9 avenue de la Monta,stationnementcyclable,56,LaMetro,5.68402,45.23172
66,"45.237049,5.660706",38382.0,5.660706,45.237049,10,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,SAN MARINO BARRAGE,SAINT-EGREVE,chemin des Acacias,stationnementcyclable,57,LaMetro,5.66071,45.23705
